type,dataset_name,best_params,duration,mse_score,rmse_score,mae_score,smape_score,mape_score,r2_score
CNN,house1.csv,"{'filters': 57, 'kernel_size': 4, 'dropout_rate': 0.3481930916297665, 'num_conv_layers': 1, 'optimizer': 'adam', 'l2_reg': 1.0083111126029509e-06}",11.77424,0.08,0.28,0.16,10.2,10.35,0.4501
TCN,house1.csv,"{'filters': 69, 'kernel_size': 5, 'dropout_rate': 0.399584348739215, 'num_tcn_blocks': 5, 'dilation_base': 3, 'l2_reg': 1.2259024805521726e-06, 'optimizer': 'adam'}",136.02136,0.08,0.28,0.17,10.95,11.41,0.4644
GRU,house1.csv,"{'gru_units': 88, 'dropout_rate': 0.25718385853212, 'num_gru_layers': 1, 'learning_rate': 0.0009972286964788125}",92.8091,0.07,0.26,0.14,9.04,8.84,0.5346
BLSTM,house1.csv,"{'lstm_units': 109, 'dropout_rate': 0.28480797297122806, 'num_lstm_layers': 2, 'learning_rate': 0.00018876073799474529}",247.838964,0.09,0.3,0.15,9.18,8.96,0.4254
BGRU,house1.csv,"{'gru_units': 76, 'dropout_rate': 0.2723247785146775, 'num_gru_layers': 1, 'learning_rate': 0.0009065914087126359}",84.173102,0.1,0.32,0.22,14.37,15.59,0.328
DCNN,house1.csv,"{'filters': 42, 'kernel_size': 3, 'dilation_rate': 4, 'dropout_rate': 0.11533397842680791, 'num_conv_layers': 1, 'optimizer': 'rmsprop', 'l2_reg': 7.372275569534523e-05}",15.714018,0.08,0.28,0.16,10.33,10.61,0.4809
WaveNet,house1.csv,"{'filters': 61, 'kernel_size': 2, 'dilation_rate': 4, 'num_wavenet_blocks': 2, 'dropout_rate': 0.385805636633059, 'l2_reg': 0.0007839582444367875, 'optimizer': 'adam'}",60.297066,0.07,0.26,0.14,9.04,9.12,0.5304
TFT,house1.csv,"{'hidden_units': 255, 'dropout_rate': 0.3116473787369221, 'num_lstm_layers': 1, 'num_heads': 3, 'num_attention_blocks': 3, 'l2_reg': 8.80900498593109e-06, 'learning_rate': 0.00014377516220300598, 'optimizer': 'adam'}",850.112523,0.12,0.35,0.19,12.13,12.18,0.2171
LSTM,house1.csv,"{'lstm_units': 88, 'dropout_rate': 0.22448677721977872, 'num_lstm_layers': 2, 'learning_rate': 0.00027858960182320627}",457.387235,0.09,0.3,0.15,9.23,8.98,0.4067
LSTM_RandomForest,house1.csv,"{'n_estimators': 85, 'max_depth': 18, 'min_samples_split': 7, 'min_samples_leaf': 8}",670.925351,0.0840506225278389,0.2899148539275608,0.1429568720499384,8.69423623864138,8.421940082612778,0.4346559781656348
GRU_RandomForest,house1.csv,"{'n_estimators': 67, 'max_depth': 8, 'min_samples_split': 2, 'min_samples_leaf': 2}",336.19373,0.0680829013458573,0.2609270038647924,0.137273978801277,8.610001403977181,8.424568607045009,0.5420585819900293
BLSTM_RandomForest,house1.csv,"{'n_estimators': 65, 'max_depth': 9, 'min_samples_split': 6, 'min_samples_leaf': 10}",349.209628,0.0795719084633335,0.2820849312943418,0.1398288171025487,8.531912229488947,8.33272535262606,0.4647808498884463
BGRU_RandomForest,house1.csv,"{'n_estimators': 30, 'max_depth': 19, 'min_samples_split': 7, 'min_samples_leaf': 3}",301.77503,0.0920651033954289,0.30342231855193,0.223258446093458,14.547115863913582,15.698112871688028,0.3807487171563878
CNN_RandomForest,house1.csv,"{'n_estimators': 73, 'max_depth': 19, 'min_samples_split': 4, 'min_samples_leaf': 6}",647.528232,0.0792783621415868,0.2815641350413558,0.1548900925189019,9.70639580968486,9.734598451915682,0.4667553106733854
TCN_RandomForest,house1.csv,"{'n_estimators': 52, 'max_depth': 13, 'min_samples_split': 3, 'min_samples_leaf': 2}",436.248848,0.0731139078328227,0.270395835457617,0.1643059851937769,10.521012088035322,10.884776443638232,0.5082188630721391
DCNN_RandomForest,house1.csv,"{'n_estimators': 78, 'max_depth': 15, 'min_samples_split': 4, 'min_samples_leaf': 1}",746.874962,0.0711121115942657,0.2666685425659835,0.1494107886294119,9.431736026927236,9.604544257257382,0.5216834098222105
WaveNet_RandomForest,house1.csv,"{'n_estimators': 40, 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 3}",391.536815,0.0697553920244061,0.2641124609411795,0.1416277082471385,8.829227465071957,8.875698103080497,0.5308090209724646
TFT_RandomForest,house1.csv,"{'n_estimators': 40, 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 8}",304.151367,0.1153277404818587,0.3395993823343304,0.1965560955423186,12.451784976013132,12.507748707731569,0.2242788135032702
TST,house1.csv,"{'d_model': 55, 'num_heads': 6, 'num_transformer_layers': 2, 'ff_dim': 484, 'dropout_rate': 0.1314300193943066, 'learning_rate': 0.0005003573628007132, 'optimizer': 'adam'}",73.022032,0.09,0.3,0.18,11.2,11.81,0.4183
TST_RandomForest,house1.csv,"{'n_estimators': 59, 'max_depth': 11, 'min_samples_split': 4, 'min_samples_leaf': 8}",382.443242,0.07770375218566589,0.2787539276596222,0.17482917755963384,11.20149708359543,11.744326617652249,0.47734650320150696
